domain,title,ip,server,encode
www.gov.tw,政府入口網,117.56.68.149,Microsoft-IIS/7.5,utf8
search3.www.gov.tw,政府入口網_搜尋頁,117.56.68.135,Apache-Coyote/1.1,utf8
www.cp.gov.tw,,117.56.68.187,,utf8
tnatc.tmcc.gov.tw,十六歲小戲節,163.29.244.134,Microsoft-IIS/7.5,utf8
www.cwb.gov.tw,中央氣象局全球資訊網,210.65.0.71,Apache,big5
ecolife.epa.gov.tw,"首頁 ::: EcoLife清淨家園顧厝邊綠色生活網",223.200.80.31,nginx,utf8
fda-article.consumer.fda.gov.tw,食藥好文網,210.69.111.199,Microsoft-IIS/8.5,utf8
digg.www.gov.tw,"政府入口網- 生活情報",117.56.68.138,Apache,utf8
app.www.gov.tw,行動服務,117.56.68.149,Microsoft-IIS/7.5,utf8
webcam.www.gov.tw,政府入口網-台灣看透透,117.56.68.145,Apache,utf8
cms.www.gov.tw,,117.56.68.149,Microsoft-IIS/7.5,utf8
rss.www.gov.tw,政府入口網-RSS訂閱中心,117.56.68.149,Microsoft-IIS/7.5,utf8
mobile.www.gov.tw,政府入口網,117.56.68.41,Apache,utf8
www.taiwan.gov.tw,Taiwan.gov.tw,68.232.45.253,"ECAcc (hhp/9A9C)",utf8
www.service.gov.tw,"電子化政府基礎建設 - 客戶服務中心-線上客服首頁",117.56.91.24,"Apache/2.2.15 (CentOS)",utf8
survey.www.gov.tw,,117.56.68.41,Apache,utf8
email.moe.gov.tw,意見函投遞,140.111.34.51,"Apache/2.2.8 (Win32) mod_ssl/2.2.8 OpenSSL/0.9.8g PHP/5.2.17",utf8
english.moe.gov.tw,"Ministry of Education Republic of China (Taiwan)",140.111.1.182,Microsoft-IIS/7.5,utf8
edu.law.moe.gov.tw,教育部-主管法規查詢系統(外部版),140.111.34.190,Microsoft-IIS/6.0,utf8
gazette.nat.gov.tw,,117.56.91.164,Apache-Coyote/1.1,utf8
www.sa.gov.tw,,120.127.244.197,Apache-Coyote/1.1,utf8
www.k12ea.gov.tw,,203.68.64.18,Microsoft-IIS/7.5,utf8
www.yda.gov.tw,教育部青年發展署,140.111.26.49,Microsoft-IIS/7.5,utf8
history.moe.gov.tw,中華民國教育部-部史網站,120.127.233.42,Microsoft-IIS/6.0,big5
win.dgbas.gov.tw,行政院主計總處,117.56.91.10,Microsoft-IIS/7.0,big5
join.gov.tw,首頁-公共政策網路參與平台,117.56.91.204,,utf8
stats.moe.gov.tw,教育統計查詢網,140.111.34.86,Microsoft-IIS/7.5,utf8
www.handicap-free.nat.gov.tw,"國家通訊傳播委員會 無障礙網路空間服務網",61.67.71.224,Microsoft-IIS/7.5,utf8
search2.www.gov.tw,,,,utf8
www.tmcc.gov.tw,臺南市臺南文化中心,163.29.244.190,Microsoft-IIS/7.5,utf8
culture.tainan.gov.tw,臺南市政府文化局,61.60.91.165,"Apache/2.2.15 (CentOS)",utf8
www.moc.gov.tw,中華民國文化部-首頁,210.69.147.125,Microsoft-IIS/8.5,utf8
